Station,Month,CalcMonthlyMeanTemperature,CalcMonthlyMaximumTemperature,CalcMonthlyMinimumTemperature
72553394957,1,26,37.8387096774194,13.6774193548387
72553394957,2,30.25,44.7142857142857,15.1785714285714
72553394957,3,42.2903225806452,55.0645161290323,29.1290322580645
72553394957,4,51.3333333333333,63.4,38.7333333333333
72553394957,5,65,74.8666666666667,54.7666666666667
72553394957,6,75.5333333333333,86.5333333333333,64.0666666666667
72553394957,7,77.1935483870968,87,66.7741935483871
72553394957,8,77.1290322580645,89.0322580645161,64.7741935483871
72553394957,9,69.5333333333333,83.0666666666667,55.6
72553394957,10,55.5483870967742,71.1612903225806,39.3548387096774
72553394957,11,40.0333333333333,51.9,27.7
72553394957,12,28.4193548387097,38.8387096774194,17.7096774193548
72205453959,1,38.5483870967742,49.1290322580645,27.5483870967742
72205453959,2,42.1428571428571,52.6428571428571,31.2857142857143
72205453959,3,53.6774193548387,64.7096774193548,42.1935483870968
72205453959,4,61.3,71,51.0333333333333
72205453959,5,72.9677419354839,82.7741935483871,62.7741935483871
72205453959,6,80.2333333333333,90.6,69.3333333333333
72205453959,7,84.741935483871,94.0645161290323,74.9032258064516
72205453959,8,80.7096774193548,89.3225806451613,71.7096774193548
72205453959,9,77.7333333333333,90.6666666666667,64.2
72205453959,10,62.1290322580645,75.0967741935484,48.5806451612903
72205453959,11,51.0666666666667,61.3,40.3666666666667
72205453959,12,44.2258064516129,51.8709677419355,36.0645161290323
72577504111,1,21.0645161290323,29.1290322580645,12.4838709677419
72577504111,2,20.4285714285714,29.3214285714286,10.7857142857143
72577504111,3,32.2903225806452,41.8387096774194,22.1612903225806
72577504111,4,38,50.3,25.3
72577504111,5,46.4516129032258,58.5806451612903,33.9354838709677
72577504111,6,60.1333333333333,74.3,45.4666666666667
72577504111,7,71.9354838709677,86.6774193548387,56.5806451612903
72577504111,8,68.4193548387097,81.8387096774194,54.5161290322581
72577504111,9,62.9666666666667,77.3666666666667,48.1666666666667
72577504111,10,46.7931034482759,59.9,33.5666666666667
72577504111,11,24.7333333333333,32.6666666666667,16.2333333333333
72577504111,12,22.3225806451613,29.5161290322581,14.6129032258065
72546314966,1,10.7096774193548,20.2258064516129,1
72546314966,2,16.6666666666667,26.6296296296296,6.17857142857143
72546314966,3,34.9032258064516,42.2258064516129,27.0967741935484
72546314966,4,42.2,50.5,33.4
72546314966,5,60.741935483871,70.0967741935484,50.741935483871
72546314966,6,70.3666666666667,80.0333333333333,60.1333333333333
72546314966,7,72.2903225806452,81.6129032258064,62.5483870967742
72546314966,8,70.0322580645161,78.6774193548387,60.9677419354839
72546314966,9,62.8666666666667,73.3666666666667,52
72546314966,10,49.3870967741936,61.3870967741936,37.0322580645161
72546314966,11,35.5666666666667,44.4666666666667,26.1
72546314966,12,19.5483870967742,26.8387096774194,12
72341503962,1,41.258064516129,54.2258064516129,27.741935483871
72341503962,2,43.8571428571429,56.3928571428571,30.7857142857143
72341503962,3,54.1290322580645,67.258064516129,40.2903225806452
72341503962,4,63.1,73.8666666666667,51.8333333333333
72341503962,5,73.3333333333333,83.2666666666667,62.9333333333333
72341503962,6,79.9333333333333,90.4333333333333,68.9
72341503962,7,87.258064516129,98.4193548387097,75.6129032258064
72341503962,8,82.1935483870968,91.258064516129,72.6129032258064
72341503962,9,76.6666666666667,89.1666666666667,63.7
72341503962,10,64.258064516129,77.5806451612903,50.3870967741936
72341503962,11,51.4,61.2666666666667,40.9666666666667
72341503962,12,45.2903225806452,53.741935483871,36.4516129032258
72645594897,1,16.6451612903226,24.7096774193548,7.96774193548387
72645594897,2,21.4074074074074,29.9259259259259,12.4074074074074
72645594897,3,31.8064516129032,38.6451612903226,24.3870967741935
72645594897,4,40.2333333333333,46.1,33.6333333333333
72645594897,5,54.8064516129032,63.1935483870968,45.8709677419355
72645594897,6,63.1333333333333,73.9666666666667,51.7666666666667
72645594897,7,69.6129032258065,77.9354838709677,60.6774193548387
72645594897,8,68.1935483870968,76.0645161290323,59.741935483871
72645594897,9,61.2333333333333,69.3333333333333,52.6
72645594897,10,47.4838709677419,56.5806451612903,38.0645161290323
72645594897,11,38.4666666666667,46.4,30.1
72645594897,12,24.8666666666667,31.2666666666667,17.9666666666667
72335013877,1,34.8387096774193,44.5483870967742,24.5806451612903
72335013877,2,43.3571428571429,56.5714285714286,29.6071428571429
72335013877,3,51.1290322580645,65,36.741935483871
72335013877,4,56,69.4,42.1666666666667
72335013877,5,67.8064516129032,80.2258064516129,54.8387096774194
72335013877,6,74.1,86.8666666666667,60.7666666666667
72335013877,7,78.0967741935484,87.8387096774194,67.8387096774194
72335013877,8,75.9677419354839,86.7096774193548,64.7741935483871
72335013877,9,67.8,79.4666666666667,55.6
72335013877,10,54.4193548387097,68.258064516129,40.1612903225807
72335013877,11,49.5333333333333,62,36.6
72335013877,12,40.3870967741936,50.1935483870968,29.9677419354839
99999963831,1,43.7096774193548,56.5483870967742,30.4193548387097
99999963831,2,49.3928571428572,62.1785714285714,36.1428571428571
99999963831,3,55.8387096774194,70,41.1290322580645
99999963831,4,62.6,75.3666666666667,49.2666666666667
99999963831,5,73.8709677419355,85.3548387096774,62.0967741935484
99999963831,6,79.7333333333333,91.0333333333333,68.1666666666667
99999963831,7,81.1290322580645,90.4516129032258,71.3548387096774
99999963831,8,79.0322580645161,87.1612903225806,70.4193548387097
99999963831,9,73.3333333333333,85.1,61.1
99999963831,10,61.4666666666667,76.5333333333333,45.9666666666667
99999963831,11,54.5666666666667,66.5666666666667,42.1666666666667
99999963831,12,50.1290322580645,59.3225806451613,40.5161290322581
72465593990,1,30.0645161290323,43.9354838709677,15.6774193548387
72465593990,2,32.3928571428571,48.3571428571429,15.8571428571429
72465593990,3,42.2903225806452,58.3870967741936,25.6129032258065
72465593990,4,54.4,70.4333333333333,37.7666666666667
72465593990,5,64.1612903225806,77.741935483871,50.0645161290323
72465593990,6,77.7,91.7,63.0333333333333
72465593990,7,82.1290322580645,95.7096774193548,67.9677419354839
72465593990,8,79.8709677419355,95.5806451612903,63.741935483871
72465593990,9,71.7666666666667,88.1666666666667,54.8333333333333
72465593990,10,56.8064516129032,74.0645161290323,39.1290322580645
72465593990,11,39.7333333333333,55.4666666666667,23.5
72465593990,12,29.4193548387097,43.9354838709677,14.2903225806452
